Country Name,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Spain,97.93884277,97.6306076,97.67926788,97.74890137,97.78375244,97.89453888,98.07913208,98.09371948,98.14325714,98.25051117,,98.43650055,,98.59445953,
Estonia,,,,,99.88578796,,,,,,,,,,99.87000275
Ethiopia,38.99597931,,,,,,,,,,51.7711792,,,,
European Union,,,,,,,,,,,,,,,
Fragile and conflict affected situations,61.77381134,61.65021896,61.30495071,61.58929825,61.49845123,63.06097031,63.47185135,64.25849152,63.29774857,65.07672882,65.81365967,64.17391968,65.13777161,65.08299255,
Finland,,,,,,,,,,,,,,,
Fiji,,,,,,,,,,,,,,,
France,,,,,,,,,,,,,,,
Faroe Islands,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,
Gabon,,,,,,82.28379822,,,,,,84.66716003,,,85.45999908
United Kingdom,,,,,,,,,,,,,,,
Georgia,,,,,,,,99.58618927,,,99.36425781,,99.55844116,,
Ghana,,,,71.49707031,,,,,,,,79.03964233,,80.37999725,
Gibraltar,,,,,,,,,,,,,,,
Guinea,,,,25.30773926,,,,32.0038414,,,,39.6176796,,,45.33000183
"Gambia, The",,,,,,,41.95005035,,50.77796936,,,,,,58.06000137
Guinea-Bissau,,,,,,,,45.5811615,,,,,,,52.88999939
Equatorial Guinea,,,,94.3705368,,,,,,,,,,,
Greece,93.93154907,,93.90511322,,97.36873627,,,,,,,97.93595123,,,
Grenada,,,,,,,,98.59999847,,,,,,,
Greenland,,,,,,,,,,,,,,,
Guatemala,,,,,,78.26486206,77.0386734,81.2858963,,,,80.81067657,,,83.34999847
Guam,,,,,,,,,,,,,,,
Guyana,,,84.99401093,,,,,85.63973236,,,,,,,88.84999847
High income,,,,,,,,,,,,,,,
"Hong Kong SAR, China",,,,,,,,,,,,,,,
Honduras,83.58898926,,,84.75536346,85.12329865,85.35555267,85.4644165,87.19753265,87.90682983,88.98748016,,87.20523834,88.50743103,,
Heavily indebted poor countries (HIPC),52.85353088,53.09774017,53.24892044,54.06692123,56.10511017,57.40147018,58.38639832,59.229599,59.71197891,60.52399826,61.6227684,63.00833893,63.6308403,63.94654846,
Croatia,,,,,99.12535858,,,,,,,,,,99.44999695
Haiti,,,,,,,,,,61.69134903,,,,,
Hungary,,,,,,,,99.09999847,,,,,,,99.09999847
IBRD only,85.46440125,85.81437683,86.20594788,86.7857666,87.14035034,87.64228821,87.81001282,88.314888,88.38742828,88.7665863,88.9834671,88.96295929,89.34327698,89.58325195,
IDA & IBRD total,80.08302307,80.65590668,81.01213837,81.52977753,81.78588104,82.31726837,82.55223083,83.05555725,83.235672,83.78101349,84.07015228,84.11257935,84.55732727,84.74362946,
IDA total,56.94850159,58.75569153,59.24505997,59.78641891,59.9167099,60.84981918,61.63714981,62.42197037,63.31293869,64.77850342,65.62299347,66.18261719,67.14550018,67.42095184,
IDA blend,59.77349854,61.00965118,61.94287109,62.39707947,62.47026062,63.87588882,63.73519135,64.59818268,65.02671814,65.72673035,66.5821991,66.03430939,66.48745728,66.76564026,
Indonesia,,92.19229889,92.58170319,,92.81191254,,,95.11621857,95.21793365,95.37696838,,95.65856171,,95.99900818,
IDA only,55.51670074,57.61193848,57.87440872,58.45849991,58.61759186,59.30995941,60.56940079,61.3146019,62.44129944,64.29682922,65.13645172,66.25772095,67.47814941,67.7516098,
Isle of Man,,,,,,,,,,,,,,,
India,,,,,69.3025589,,,,,,,74.37299347,,,
Not classified,,,,,,,,,,,,,,,
Ireland,,,,,,,,,,,,,,,
"Iran, Islamic Rep.",,82.96230316,,,,83.62599182,84.62680054,84.70523834,,85.54425049,,,,,88.73999786
Iraq,,,,,,77.19999695,72.69999695,82.19999695,,83.30000305,85.59999847,,,,
Iceland,,,,,,,,,,,,,,,
Israel,,,,,,,,,,,,,,,
Italy,,,,,98.84828186,,,,,,,99.15576172,99.34909821,,
Jamaica,,,,,,,,88.09999847,,,,,,,
Jordan,92.19957733,,,92.55104065,95.90444946,97.89031982,,,,,,98.22711182,,,98.41999817
Japan,,,,,,,,,,,,,,,
Kazakhstan,,,99.73240662,99.78163147,,,,,,,,99.78163147,,99.80000305,
Kenya,72.1570282,,,,,,,78.73303986,,,,81.53497314,,,82.62000275
Kyrgyz Republic,,,99.24343109,,,,,,,,,99.58599854,99.59999847,,
Cambodia,,76.87129211,76.13796234,,,,,78.05509186,80.52648926,,,,,,83.91000366
Kiribati,,,,,,,,,,,,,,,
St. Kitts and Nevis,,,,,,,,,,,,,,,
"Korea, Rep.",,97.96594238,,,,,,,,,,98.80000305,,,
Kuwait,93.6641922,93.89830017,,94.4690094,,95.51316833,95.58582306,,95.68544769,,96.03594971,96.05647278,,96.45754242,
Latin America & Caribbean (excluding high income),90.47889709,90.75299835,91.06758118,91.06822968,91.75531769,91.97734833,92.04438782,92.45662689,92.6381073,93.11830139,93.1860733,93.3474884,93.79974365,93.81555176,
Lao PDR,,,,,58.28794098,,,,84.66104126,,,,,,87.06999969
Lebanon,89.61244202,,91.18418884,,,,,,,,,95.06944275,95.30000305,,
Liberia,42.94107819,,,,,,,,,,48.30136108,,,,
Libya,,,,,,,,,,,,,,,
St. Lucia,,,,,,,,,,,,,,,
Latin America & Caribbean,91.05211639,91.30175781,91.57601166,91.56577301,92.1350174,92.35542297,92.40048218,92.84902191,93.02124786,93.48773956,93.52474213,93.67971802,94.09378815,94.11495209,
Least developed countries: UN classification,53.3325119,55.54776001,56.14736176,56.64477158,56.7669487,57.55464172,58.91767883,59.6724205,60.92313004,62.93978882,63.8528595,64.06213379,65.40097809,65.69664001,
Low income,52.30194855,52.73405838,53.22562027,54.17541885,56.11798859,56.58974838,57.58013153,57.99214935,58.55276108,59.26771164,60.3202095,60.10586166,60.65451813,60.85430908,
Liechtenstein,,,,,,,,,,,,,,,
Sri Lanka,,90.55795288,,91.18135834,,,,,,92.38690186,91.89575195,91.70982361,92.25296021,92.38230133,
Lower middle income,70.0437088,71.16751099,71.94159698,73.03414917,73.04888153,73.81665802,74.32679749,75.2041626,75.87806702,76.52313232,77.14888,77.66903687,78.35629272,78.79068756,
Low & middle income,79.81185913,80.3966217,80.75837708,81.28820801,81.55683899,82.09709167,82.34004211,82.84551239,83.03024292,83.58309174,83.88253021,83.9284668,84.38210297,84.57289124,
Lesotho,,,75.80020142,,,,,76.6352005,,,,,,,81.01999664
Late-demographic dividend,94.05142975,94.26799011,94.53801727,94.56034851,95.07137299,95.23835754,95.29447937,95.52902985,95.62265015,95.84777069,95.98296356,96.12787628,96.30364227,96.440979,
Lithuania,,,,,99.81559753,,,,,,,,,,99.83000183
Luxembourg,,,,,,,,,,,,,,,
Latvia,,,,,99.89589691,,,,,,,99.88931274,,,99.88999939
"Macao SAR, China",,,,,95.64003754,,,,,96.5384903,,,,,97.11000061
St. Martin (French part),,,,,,,,,,,,,,,
Morocco,,55.1479187,56.08367157,,67.08415985,69.42539215,,75.5861969,,,,73.75000763,,,75.93000031
Monaco,,,,,,,,,,,,,,,
Moldova,,,,,,,,99.3598938,,,,,,,99.59999847
Madagascar,,,64.48091125,,,71.57261658,,,,,,76.67967987,,,77.25
Maldives,,,,,,,,98.61012268,,97.7349472,,,,,97.86000061
Middle East & North Africa,74.91329956,75.60903931,75.49469757,76.32344055,77.09967041,79.72863007,79.50060272,81.41558838,79.38658142,80.43865967,81.4997406,78.95095825,79.27204895,79.73738098,
Mexico,92.79517365,92.92559814,93.44187927,93.06893921,93.51998138,94.22840118,93.96285248,94.55587769,94.47228241,94.85961914,94.97277832,95.37991333,,95.24784851,
Marshall Islands,,,,,98.26508331,,,,,,,,,,
Middle income,81.85162354,82.47743988,82.86035156,83.38909912,83.55696869,84.13246918,84.34593201,84.89092255,85.07804108,85.65072632,85.92034149,86.02541351,86.50932312,86.74009705,
North Macedonia,,,,,,97.59999847,,97.80000305,,,,,,,
Mali,,,,31.09975052,30.61866951,,,,33.06888962,,,35.47377014,,30.76140976,
Malta,,,,,93.30735779,,,,,,,94.50318909,,,94.94000244
Myanmar,,,,,,,,,,75.55120087,,,89.06994629,,
Middle East & North Africa (excluding high income),72.9235611,73.52570343,73.26029968,74.08522797,74.32199097,77.32875824,76.95916748,79.11107635,76.4473114,77.64148712,78.8600769,75.79129028,76.1687088,76.5497818,
Montenegro,,,,,98.44220734,,,,,,,98.84718323,,,98.98000336
Mongolia,,,,98.25700378,,,,,,,,,,99.18327332,
Northern Mariana Islands,,,,,,,,,,,,,,,
Mozambique,,,50.5838089,,,,,,56.03900146,,60.65542984,,,,63.41999817
Mauritania,45.50378036,,,,,,62.06874847,,,,53.49758911,,,,66.95999908
Mauritius,,,,,89.24983978,91.76600647,91.49002838,92.47476196,92.70760345,93.15783691,,,,,92.15000153
Malawi,,,,61.30971909,,,,65.14537048,62.14353943,,,,,,67.30999756
Malaysia,,,,93.1178894,,,,,,94.88057709,95.08264923,94.85440826,94.97113037,,
North America,,,,,,,,,,,,,,,
Namibia,76.48658752,,,,88.27462769,,,,,,,91.52726746,,,92.25
New Caledonia,,,,,,,,97.80000305,,,,,,,
Niger,,,,,,30.56039047,,,,,,35.04999924,,,37.34000015
Nigeria,,51.07765961,,,,,,,,,,62.01601028,,,
Nicaragua,,,,,,,,,82.61454773,,,,,,
Netherlands,,,,,,,,,,,,,,,
Norway,,,,,,,,,,,,,,,
Nepal,,,,,59.62725067,,,,,,,67.90843201,,,71.15000153
Nauru,,,,,,,,,,,,,,,
New Zealand,,,,,,,,,,,,,,,
OECD members,,,,,,,,,,,,,,,
Oman,,86.62113953,,86.93900299,,,,91.98120117,93.03861237,94.89998627,95.5759964,95.6515274,,,
Other small states,80.5163269,81.7490921,80.89338684,81.50482941,82.00820923,82.27467346,82.70617676,83.4460907,84.42913818,84.79267883,84.8690033,85.0184021,85.19822693,85.3736496,
Pakistan,52.13682938,55.526371,54.89263916,55.37519073,54.73802185,56.76433945,55.59498978,56.97714996,,,59.13204956,57.01057053,57.99885941,,
Panama,,,,94.09411621,,,,,,,,95.41181183,95.73607635,,
Peru,89.59081268,,,,,93.84172821,,93.70794678,94.16233826,94.17366791,94.14961243,94.40827179,,94.49793243,
Philippines,,95.42009735,,,,,96.39800262,,98.18254852,,,,96.27816772,,
Palau,,,,,,,99.50312805,,96.59374237,,,,,,
Papua New Guinea,,,,61.59999847,,,,,,,,,,,
Poland,,98.74273682,,,,,,,,,,,,,99.80000305
Pre-demographic dividend,54.70549011,54.6516304,53.95056152,54.58177185,56.30136108,58.88851929,59.58293915,60.65571976,59.71837997,62.01961136,63.13121033,62.97169113,63.53018188,63.84856033,
Puerto Rico,,,,91.96523285,,,,,,,92.38999939,,,,92.40000153
"Korea, Dem. People's Rep.",,99.99819183,,,,,,,,,,99.99819183,,,
Portugal,,,,,94.47705078,,,,,,,96.1375885,,,96.77999878
Paraguay,94.55821991,93.29208374,93.75424194,93.87091827,,94.19747162,95.05903625,95.03481293,95.55484009,94.65023804,,94.02079773,93.21353149,94.54454803,
West Bank and Gaza,93.76170349,94.00984192,94.43018341,94.71748352,95.02581787,95.67101288,96.04602814,96.21292877,96.47711945,96.7191925,96.92440033,97.21861267,97.37825775,97.5144577,
Pacific island small states,90.00518036,90.13938141,90.2678299,90.40220642,90.48288727,90.54302216,90.59533691,90.60830688,90.62507629,90.67597198,90.73033142,90.79180908,90.86129761,90.93675995,
Post-demographic dividend,,,,,,,,,,,,,,,
French Polynesia,,,,,,,,,,,,,,,
Qatar,90.06062317,91.01075745,91.15142059,91.77884674,91.36408234,90.1700592,90.63298798,91.3272171,,93.14530182,93.46396637,,,,
